# https://twiki.cern.ch/twiki/bin/viewauth/AtlasProtected/MC12APAPER2014
# https://twiki.cern.ch/twiki/bin/viewauth/AtlasProtected/MC12ATauTauPub2014
# https://indico.cern.ch/event/298355/contribution/3/material/slides/0.pdf
#DSID  xsec [pb]  kfac  filter  name

#Top
117050  252.89  1.0  0.543  mc12_8TeV.117050.PowhegPythia_P2011C_ttbar.merge.AOD.e1728_s1581_s1586_r3658_r3549
117049  252.89  1.0  0.457  mc12_8TeV.117049.TTbar_MT1725_allhad_PowHeg_Pythia_P2011C.merge.NTUP_TAU.e2075_s1581_s1586_r3658_r3549_p1344
110119  1.818  1.0  1.0  mc12_8TeV.110119.PowhegPythia_P2011C_st_schan_lep.merge.AOD.e1720_s1581_s1586_r3658_r3549
110140  22.37  1.0  1.0  mc12_8TeV.110140.PowhegPythia8_AU2CT10_Zeeythia_P2011C_st_Wtchan_incl_DR.merge.AOD.e1743_s1581_s1586_r3658_r3549
117360  9.48  1.0  1.0  mc12_8TeV.117360.AcerMCPythia_AUET2BCTEQ6L1_singletop_tchan_e.merge.AOD.e1346_s1499_s1504_r3658_r3549
117361  9.48  1.0  1.0  mc12_8TeV.117361.AcerMCPythia_AUET2BCTEQ6L1_singletop_tchan_mu.merge.AOD.e1346_s1499_s1504_r3658_r3549
117362  9.48  1.0  1.0  mc12_8TeV.117362.AcerMCPythia_AUET2BCTEQ6L1_singletop_tchan_tau.merge.AOD.e1346_s1499_s1504_r3658_r3549

#Diboson
105986  7.325  1.0  0.21165  mc12_8TeV.105986.Herwig_AUET2CTEQ6L1_ZZ.merge.AOD.e1576_s1499_s1504_r3658_r3549
105987  22.258  1.0  0.30546  mc12_8TeV.105987.Herwig_AUET2CTEQ6L1_WZ.merge.AOD.e1576_s1499_s1504_r3658_r3549

107100  2.4970  1.21  1.0  mc12_8TeV.107100.AlpgenJimmy_AUET2CTEQ6L1_WWlnulnuNp0.merge.AOD.e1596_s1499_s1504_r3658_r3549
107101  1.2491  1.21  1.0  mc12_8TeV.107101.AlpgenJimmy_AUET2CTEQ6L1_WWlnulnuNp1.merge.AOD.e1596_s1499_s1504_r3658_r3549
107102  0.5920  1.21  1.0  mc12_8TeV.107102.AlpgenJimmy_AUET2CTEQ6L1_WWlnulnuNp2.merge.AOD.e1596_s1499_s1504_r3658_r3549
107103  0.32847  1.21  1.0  mc12_8TeV.107103.AlpgenJimmy_AUET2CTEQ6L1_WWlnulnuNp3.merge.AOD.e1596_s1499_s1504_r3658_r3549
110829  9.9819  1.26  1.0  mc12_8TeV.110829.AlpgenJimmy_AUET2CTEQ6L1_WWqqlnuNp0.merge.AOD.e1596_s1499_s1504_r3658_r3549
110830  5.0144  1.26  1.0  mc12_8TeV.110830.AlpgenJimmy_AUET2CTEQ6L1_WWqqlnuNp1.merge.AOD.e1596_s1499_s1504_r3658_r3549
110831  2.3658  1.26  1.0  mc12_8TeV.110831.AlpgenJimmy_AUET2CTEQ6L1_WWqqlnuNp2.merge.AOD.e1596_s1499_s1504_r3658_r3549
110832  1.3139  1.26  1.0  mc12_8TeV.110832.AlpgenJimmy_AUET2CTEQ6L1_WWqqlnuNp3.merge.AOD.e1596_s1499_s1504_r3658_r3549

169471  0.0236  1.0  1.0  mc12_8TeV.169471.gg2wwJimmy_AUET2CT10_WpWmenuenu.merge.AOD.e1723_s1581_s1586_r3658_r3549
169472  0.0208  1.0  1.0  mc12_8TeV.169472.gg2wwJimmy_AUET2CT10_WpWmenumunu.merge.AOD.e1723_s1581_s1586_r3658_r3549
169473  0.0208  1.0  1.0  mc12_8TeV.169473.gg2wwJimmy_AUET2CT10_WpWmenutaunu.merge.AOD.e1723_s1581_s1586_r3658_r3549
169474  0.0236  1.0  1.0  mc12_8TeV.169474.gg2wwJimmy_AUET2CT10_WpWmmunumunu.merge.AOD.e1723_s1581_s1586_r3658_r3549
169475  0.0208  1.0  1.0  mc12_8TeV.169475.gg2wwJimmy_AUET2CT10_WpWmmunuenu.merge.AOD.e1723_s1581_s1586_r3658_r3549
169476  0.0208  1.0  1.0  mc12_8TeV.169476.gg2wwJimmy_AUET2CT10_WpWmmunutaunu.merge.AOD.e1723_s1581_s1586_r3658_r3549
169477  0.0236  1.0  1.0  mc12_8TeV.169477.gg2wwJimmy_AUET2CT10_WpWmtaunutaunu.merge.AOD.e1723_s1581_s1586_r3658_r3549
169478  0.0208  1.0  1.0  mc12_8TeV.169478.gg2wwJimmy_AUET2CT10_WpWmtaunuenu.merge.AOD.e1723_s1581_s1586_r3658_r3549
169479  0.0208  1.0  1.0  mc12_8TeV.169479.gg2wwJimmy_AUET2CT10_WpWmtaunumunu.merge.AOD.e1723_s1581_s1586_r3658_r3549

#EW Z+jets
129921  0.35899  1.0  1.0  1392.7mc12_8TeV.129921.Sherpa_CT10_Ztoee2JetsEW1JetQCD15GeVM40_min_n_tchannels.merge.AOD.e1557_s1499_s1504_r3658_r3549
129922  0.35843  1.0  1.0  1394.9mc12_8TeV.129922.Sherpa_CT10_Ztomm2JetsEW1JetQCD15GeVM40_min_n_tchannels.merge.AOD.e1557_s1499_s1504_r3658_r3549
167723  0.35970  1.0  1.0  1390.0mc12_8TeV.167723.Sherpa_CT10_Ztott2JetsEW_Mll40_NoYtau.merge.AOD.e1982_s1581_s1586_r3658_r3549

#Z+jets(10<mll<60)
146830  3477.2  1.19  1.0  mc12_8TeV.146830.AlpgenJimmy_Auto_AUET2CTEQ6L1_ZeeNp0Excl_Mll10to60.merge.AOD.e1600_s1499_s1504_r3658_r3549
146831  108.8  1.19  1.0  mc12_8TeV.146831.AlpgenJimmy_Auto_AUET2CTEQ6L1_ZeeNp1Excl_Mll10to60.merge.AOD.e1600_s1499_s1504_r3658_r3549
146832  52.767  1.19  1.0  mc12_8TeV.146832.AlpgenJimmy_Auto_AUET2CTEQ6L1_ZeeNp2Excl_Mll10to60.merge.AOD.e1600_s1499_s1504_r3658_r3549
146833  11.297  1.19  1.0  mc12_8TeV.146833.AlpgenJimmy_Auto_AUET2CTEQ6L1_ZeeNp3Excl_Mll10to60.merge.AOD.e1600_s1499_s1504_r3658_r3549
146834  2.5836  1.19  1.0  mc12_8TeV.146834.AlpgenJimmy_Auto_AUET2CTEQ6L1_ZeeNp4Excl_Mll10to60.merge.AOD.e1600_s1499_s1504_r3658_r3549
146835  0.69267  1.19  1.0  mc12_8TeV.146835.AlpgenJimmy_Auto_AUET2CTEQ6L1_ZeeNp5Incl_Mll10to60.merge.AOD.e1600_s1499_s1504_r3658_r3549
146840  3477.1  1.19  1.0  mc12_8TeV.146840.AlpgenJimmy_Auto_AUET2CTEQ6L1_ZmumuNp0Excl_Mll10to60.merge.AOD.e1600_s1499_s1504_r3658_r3549
146841  108.75  1.19  1.0  mc12_8TeV.146841.AlpgenJimmy_Auto_AUET2CTEQ6L1_ZmumuNp1Excl_Mll10to60.merge.AOD.e1600_s1499_s1504_r3658_r3549
146842  52.741  1.19  1.0  mc12_8TeV.146842.AlpgenJimmy_Auto_AUET2CTEQ6L1_ZmumuNp2Excl_Mll10to60.merge.AOD.e1600_s1499_s1504_r3658_r3549
146843  11.241  1.19  1.0  mc12_8TeV.146843.AlpgenJimmy_Auto_AUET2CTEQ6L1_ZmumuNp3Excl_Mll10to60.merge.AOD.e1600_s1499_s1504_r3658_r3549
146844  2.6005  1.19  1.0  mc12_8TeV.146844.AlpgenJimmy_Auto_AUET2CTEQ6L1_ZmumuNp4Excl_Mll10to60.merge.AOD.e1600_s1499_s1504_r3658_r3549
146845  0.69373  1.19  1.0  mc12_8TeV.146845.AlpgenJimmy_Auto_AUET2CTEQ6L1_ZmumuNp5Incl_Mll10to60.merge.AOD.e1600_s1499_s1504_r3658_r3549
146850  3477.1  1.19  1.0  mc12_8TeV.146850.AlpgenJimmy_Auto_AUET2CTEQ6L1_ZtautauNp0Excl_Mll10to60.merge.AOD.e1600_s1499_s1504_r3658_r3549
146851  108.74  1.19  1.0  mc12_8TeV.146851.AlpgenJimmy_Auto_AUET2CTEQ6L1_ZtautauNp1Excl_Mll10to60.merge.AOD.e1600_s1499_s1504_r3658_r3549
146852  52.732  1.19  1.0  mc12_8TeV.146852.AlpgenJimmy_Auto_AUET2CTEQ6L1_ZtautauNp2Excl_Mll10to60.merge.AOD.e1600_s1499_s1504_r3658_r3549
146853  11.326  1.19  1.0  mc12_8TeV.146853.AlpgenJimmy_Auto_AUET2CTEQ6L1_ZtautauNp3Excl_Mll10to60.merge.AOD.e1600_s1499_s1504_r3658_r3549
146854  2.592  1.19  1.0  mc12_8TeV.146854.AlpgenJimmy_Auto_AUET2CTEQ6L1_ZtautauNp4Excl_Mll10to60.merge.AOD.e1551_s1499_s1504_r3658_r3549
146855  0.6929  1.19  1.0  mc12_8TeV.146855.AlpgenJimmy_Auto_AUET2CTEQ6L1_ZtautauNp5Incl_Mll10to60.merge.AOD.e1600_s1499_s1504_r3658_r3549

#Z+jets  
147105  718.97  1.18  1.0  mc12_8TeV.147105.AlpgenPythia_Auto_P2011C_ZeeNp0.merge.NTUP_TAU.e1879_s1581_s1586_r3658_r3549_p1344
147106  175.70  1.18  1.0  mc12_8TeV.147106.AlpgenPythia_Auto_P2011C_ZeeNp1.merge.NTUP_TAU.e1879_s1581_s1586_r3658_r3549_p1344
147107  58.875  1.18  1.0  mc12_8TeV.147107.AlpgenPythia_Auto_P2011C_ZeeNp2.merge.NTUP_TAU.e1879_s1581_s1586_r3658_r3549_p1344
147108  15.636  1.18  1.0  mc12_8TeV.147108.AlpgenPythia_Auto_P2011C_ZeeNp3.merge.NTUP_TAU.e1879_s1581_s1586_r3658_r3549_p1344
147109  4.0116  1.18  1.0  mc12_8TeV.147109.AlpgenPythia_Auto_P2011C_ZeeNp4.merge.NTUP_TAU.e1879_s1581_s1586_r3658_r3549_p1344
147110  1.2592  1.18  1.0  mc12_8TeV.147110.AlpgenPythia_Auto_P2011C_ZeeNp5incl.merge.NTUP_TAU.e1879_s1581_s1586_r3658_r3549_p1344
147113  719.16  1.18  1.0  mc12_8TeV.147113.AlpgenPythia_Auto_P2011C_ZmumuNp0.merge.NTUP_TAU.e1880_s1581_s1586_r3658_r3549_p1344
147114  175.74  1.18  1.0  mc12_8TeV.147114.AlpgenPythia_Auto_P2011C_ZmumuNp1.merge.NTUP_TAU.e1880_s1581_s1586_r3658_r3549_p1344
147115  58.882  1.18  1.0  mc12_8TeV.147115.AlpgenPythia_Auto_P2011C_ZmumuNp2.merge.NTUP_TAU.e1880_s1581_s1586_r3658_r3549_p1344
147116  15.673  1.18  1.0  mc12_8TeV.147116.AlpgenPythia_Auto_P2011C_ZmumuNp3.merge.NTUP_TAU.e1880_s1581_s1586_r3658_r3549_p1344
147117  4.0057  1.18  1.0  mc12_8TeV.147117.AlpgenPythia_Auto_P2011C_ZmumuNp4.merge.NTUP_TAU.e1880_s1581_s1586_r3658_r3549_p1344
147118  1.2544  1.18  1.0  mc12_8TeV.147118.AlpgenPythia_Auto_P2011C_ZmumuNp5incl.merge.NTUP_TAU.e1880_s1581_s1586_r3658_r3549_p1344
147121  719.18  1.18  1.0  mc12_8TeV.147121.AlpgenPythia_Auto_P2011C_ZtautauNp0.merge.NTUP_TAU.e1881_s1581_s1586_r3658_r3549_p1344
