+------------------------------------------------+------------+
|                    Trigger                     | Acceptance |
+------------------------------------------------+------------+
|                EF_j10_a4tc_EFFS                |   99.9%    |
|                EF_j15_a4tc_EFFS                |   99.3%    |
|                  EF_tauNoCut                   |   98.5%    |
|                EF_j20_a4tc_EFFS                |   98.1%    |
|                EF_j30_a6tc_EFFS                |   93.8%    |
|             EF_g11_etcut_larcalib              |   93.1%    |
|                  EF_g11_etcut                  |   93.1%    |
|                EF_j30_a4tc_EFFS                |   91.7%    |
|                EF_j35_a6tc_EFFS                |   89.3%    |
|                EF_j35_a4tc_EFFS                |   86.2%    |
|                  EF_g17_etcut                  |   83.7%    |
|                EF_j40_a4tc_EFFS                |   79.3%    |
|                  EF_g20_etcut                  |   77.7%    |
|                 EF_tau16_loose                 |   76.1%    |
|                 EF_tau20_loose                 |   73.6%    |
|                EF_j45_a4tc_EFFS                |   71.6%    |
|                EF_j50_a6tc_EFFS                |   67.6%    |
|                 EF_tau29_loose                 |   66.2%    |
|                  EF_g27_etcut                  |   64.4%    |
|                EF_j50_a4tc_EFFS                |   63.3%    |
|                EF_tau16_medium                 |   62.2%    |
|                EF_tau29_loose1                 |   61.0%    |
|                EF_j55_a6tc_EFFS                |   60.3%    |
|                 EF_tau38_loose                 |   58.8%    |
|                EF_tau20_medium1                |   56.4%    |
|                EF_j55_a4tc_EFFS                |   55.8%    |
|                EF_tau29_medium                 |   52.6%    |
|                EF_em105_passHLT                |   51.4%    |
|                  EF_xe20_noMu                  |   50.6%    |
|                EF_tau29_medium1                |   49.3%    |
|                  EF_xs30_noMu                  |   48.5%    |
|            EF_g17_etcut_EFxe20_noMu            |   45.5%    |
|                EF_tau38_medium                 |   42.8%    |
|             EF_tau50_loose_IdScan              |   40.0%    |
|                 EF_tau50_loose                 |   39.6%    |
|            EF_tau16_loose_xe20_noMu            |   38.6%    |
|              EF_tauNoCut_L1TAU50               |   35.0%    |
|                EF_j75_a6tc_EFFS                |   34.3%    |
|                EF_2tau16_loose                 |   31.6%    |
|                EF_j75_a4tc_EFFS                |   31.4%    |
|              EF_j75_j30_a4tc_EFFS              |   29.5%    |
|            EF_tau16_loose_xe25_noMu            |   29.0%    |
|                EF_tau50_medium                 |   28.8%    |
|                EF_2tau20_loose                 |   28.4%    |
|                  EF_xe30_noMu                  |   28.1%    |
|           EF_tau20_loose_tau29_loose           |   27.8%    |
|             EF_j70_j25_dphi03_NoEF             |   27.1%    |
|           EF_tau16_medium_xe22_noMu            |   26.8%    |
|            EF_g17_etcut_EFxe30_noMu            |   26.7%    |
|                  EF_g15_loose                  |   25.9%    |
|             EF_g15_loose_larcalib              |   25.9%    |
|             EF_g20_etcut_xe30_noMu             |   23.6%    |
|           EF_tau16_medium_xe25_noMu            |   23.3%    |
|              EF_j10_a4tc_EFFS_1vx              |   23.1%    |
|                  EF_e10_loose                  |   22.8%    |
|        EF_tau16_medium_xe25_tight_noMu         |   22.7%    |
|            EF_g27_etcut_EFxe30_noMu            |   22.0%    |
|            EF_tau16_loose_xe30_noMu            |   21.4%    |
